specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z,g_r,u_g,r_i,i_z,u_r,dered_g_r,dered_u_g,dered_r_i,dered_i_z,dered_u_r
5.821455e+17,1237651752400453668,517,52024,201,0.04113255,sdss,GALAXY,STARFORMING,181.6968,1.28605,0.04113255,18.96883,17.40251,16.76122,16.38023,15.97667,0.1232058,0.0960011,0.06641312,0.04935206,0.03670887,17.21989,15.70433,14.99388,14.61256,14.32036,0.6412899999999979,1.566320000000001,0.3809900000000006,0.4035600000000006,2.207609999999999,0.7104499999999998,1.515559999999999,0.38132000000000055,0.29219999999999935,2.2260099999999987
3.232306e+17,1237674650466516995,287,52023,354,0.04077477,sdss,GALAXY,STARFORMING,182.098,0.1102601,0.04077477,18.94782,17.52295,16.83772,16.57134,16.25747,0.09251209,0.07208479,0.04986792,0.03705721,0.02756376,16.65483,15.28522,14.64129,14.30664,14.02248,0.6852300000000007,1.4248699999999985,0.2663800000000016,0.3138699999999979,2.110099999999999,0.643930000000001,1.3696099999999998,0.3346499999999999,0.28415999999999997,2.0135400000000008
6.756862e+17,1237651271364313133,600,52317,532,0.04685231,sdss,GALAXY,STARFORMING,188.761,66.37595,0.04685231,17.87627,16.56329,15.9356,15.55812,15.36086,0.08064133,0.06283517,0.04346908,0.03230219,0.02402689,16.73405,15.42195,14.77037,14.4168,14.15908,0.6276899999999976,1.3129800000000031,0.37748000000000026,0.19726,1.9406700000000008,0.6515800000000009,1.3120999999999992,0.3535699999999995,0.25772000000000084,1.96368
1.030358e+18,1237655499741724759,915,52443,581,0.02918646,sdss,GALAXY,STARFORMING,211.7349,-1.594712,0.02918646,18.90061,17.3496,16.45707,16.06142,15.79902,0.2152425,0.1677155,0.1160248,0.08621889,0.06413101,16.37176,14.93653,14.19297,13.83605,13.5524,0.8925299999999972,1.5510100000000016,0.3956500000000034,0.26239999999999775,2.4435399999999987,0.7435599999999987,1.435229999999999,0.35692000000000057,0.28364999999999974,2.1787899999999976
1.175581e+18,1237659133280845932,1044,52468,516,0.04378391,sdss,GALAXY,STARFORMING,211.9466,52.63603,0.04378391,19.33784,17.9563,17.62988,17.3713,17.0258,0.04544145,0.03540767,0.02449486,0.01820231,0.01353917,17.26521,15.98507,15.43588,15.1,14.86432,0.3264199999999988,1.381540000000001,0.2585799999999985,0.34550000000000125,1.70796,0.5491900000000012,1.2801399999999994,0.3358799999999995,0.23568000000000033,1.8293300000000006
5.000186e+17,1237651702451011723,444,51883,433,0.04848562,sdss,GALAXY,STARFORMING,127.2879,52.8186,0.04848562,19.10987,17.8105,17.21976,16.9204,16.72075,0.1830786,0.1426536,0.09868713,0.07333511,0.05454785,17.37185,16.08477,15.50424,15.17608,14.94884,0.5907400000000003,1.2993699999999997,0.29936000000000007,0.19965000000000188,1.89011,0.5805299999999995,1.2870799999999996,0.3281599999999987,0.2272400000000001,1.867609999999999
1.175571e+18,1237659132743712893,1044,52468,480,0.0436211,sdss,GALAXY,STARFORMING,210.7033,52.50021,0.0436211,20.25652,18.76006,18.17441,17.94327,17.63738,0.05120942,0.03990203,0.02760404,0.02051276,0.01525773,17.60809,16.273,15.68853,15.3626,15.11852,0.5856499999999976,1.496459999999999,0.23114000000000345,0.305889999999998,2.0821099999999966,0.5844699999999996,1.335090000000001,0.3259299999999996,0.2440800000000003,1.9195600000000006
4.966211e+17,1237651251483050288,441,51868,361,0.03901695,sdss,GALAXY,STARFORMING,124.4845,47.12205,0.03901695,19.63371,18.22049,17.21787,16.85338,16.4916,0.244224,0.1902977,0.1316471,0.09782789,0.07276598,17.20931,15.69889,14.88698,14.44793,14.11098,1.0026200000000003,1.413219999999999,0.36449,0.3617800000000031,2.4158399999999993,0.811910000000001,1.510419999999998,0.43904999999999994,0.33694999999999986,2.322329999999999
9.559427e+17,1237655125014020160,849,52439,195,0.03828112,sdss,GALAXY,STARFORMING,195.4227,4.680532,0.03828112,19.047,17.42674,16.6749,16.39406,16.05826,0.1435339,0.1118406,0.07737082,0.05749481,0.04276558,16.6866,15.25336,14.59231,14.24651,13.97941,0.7518399999999978,1.6202600000000018,0.2808400000000013,0.335799999999999,2.3720999999999997,0.6610500000000012,1.4332399999999978,0.3457999999999988,0.267100000000001,2.094289999999999
3.152652e+17,1237674649387794517,280,51612,48,0.04078395,sdss,GALAXY,STARFORMING,170.8624,-0.7135721,0.04078395,18.40049,17.51418,17.18089,16.99525,16.73878,0.1309507,0.1020359,0.07058796,0.05245442,0.03901645,16.98779,15.86761,15.34783,15.04747,14.8485,0.3332899999999981,0.8863100000000017,0.1856400000000029,0.2564700000000002,1.2195999999999998,0.5197800000000008,1.1201799999999995,0.3003599999999995,0.19897000000000098,1.6399600000000003
