Element,SpectraLine,Color
N_IV,3479,g
N_IV,3480,g
N_IV,3481,g
N_IV,3482,g
N_IV,3483,g
N_IV,3484,g
O_II,3725,g
O_II,3727,g
H12,3750,r
H11,3771,r
H10,3798,r
He_I,3820,orange
CN,3834,g
H9,3835,r
Cn,3839,g
Ne_III,3866,g
Ne_III,3868,g
CN,3880,g
He_I,3888,orange
H8_zeta,3889,r
H8_zeta,3890,r
Fe_I,3923,g
He_I,3926,orange
Ca_II,3932,r
Ca_II,3933,r
Ca_II,3934,r
Cr_II,3945,g
He_I,3962,orange
O_III,3965,g
Ca_II,3968,r
H_epsilon,3970,r
O_II,3983,g
Fe_I,3984,g
N_II,3995,g
Fe_I,3996,g
Fe_I,3997,g
Fe_I,3998,g
Fe_I,4002,g
Fe_I,4005,g
He_I,4009,orange
Zr_II,4024,g
He_I,4026,orange
He_I,4027,orange
Mn_I,4030,g
Mn_I,4031,g
Mn_I,4032,g
Mn_I,4033,g
Mn_I,4034,g
Mn_I,4035,g
Mn_I,4036,g
Fe_I,4045,g
Fe,4046,g
Ti,4054,g
Mn_I,4055,g
Mn_I,4056,g
N_IV,4058,g
Fe_I,4064,g
C3,4065,g
O_II,4070,g
Fe_I,4072,g
O_II,4076,g
Sr_II,4077,g
Sr_II,4078,g
Fe_I,4084,g
Si_IV,4089,aqua
CO,4092,g
N_III,4097,g
H_delta,4101,r
H_delta,4102,r
H_delta,4103,r
Fe_I,4110,g
V_I,4112,g
Si_IV,4116,g
He_I,4120,orange
He_I,4121,orange
Si_II,4128,aqua
Si_II,4130,aqua
Si_II,4131,g
Fe_I,4132,g
Fe_I,4133,g
Fe_I,4134,g
Fe_I,4143,g
He_I,4144,orange
Zr_II,4149,g
Fe_II,4152,g
O,4153,g
Ti_II,4154,g
Fe_I,4155,g
Fe_I,4156,g
Fe_I,4157,g
Mg_I,4167,g
He_I,4169,orange
Fe_II,4172,g
Fe_II,4173,g
Fe_II,4174,g
Fe_II,4175,g
Fe_II,4176,g
Fe_II,4177,g
Fe_II,4178,g
Fe_II,4179,g
O_II,4185,g
O_II,4186,g
C,4187,g
O_II,4188,g
O_II,4189,g
O_II,4190,g
He_II,4200,orange
CH,4201,g
Fe_II,4202,g
Sr_II,4215,g
Sr_II,4216,g
CN,4217,g
Ca_I,4226,g
Ca_I,4227,g
Fe_II,4231,g
Fe_II,4232,g
Fe_II,4233,g
Fe_II,4234,g
Cr_II,4242,g
Sc_II,4246,g
Sc_II,4247,g
O_II,4254,g
Zr_II,4258,g
Fe_I,4260,g
C_II,4267,g
Fe_II,4271,g
Fe_II,4272,g
O_II,4276,g
O_II,4277,g
O_II,4278,g
O_II,4279,g
O_II,4280,g
O_II,4281,g
O_II,4282,g
O_II,4283,g
O_II,4284,g
O_II,4285,g
O_II,4286,g
O_II,4287,g
O_II,4288,g
Ti_I,4289,g
O_II,4290,g
O_II,4291,g
O_II,4292,g
O_II,4293,g
O_II,4294,g
O_II,4295,g
CH_G_band,4299,aqua
CH_G_band,4300,aqua
CH,4301,aqua
CH,4302,aqua
O_II_V,4303,g
CH,4304,aqua
CH,4305,aqua
CH,4306,aqua
CH,4307,aqua
CH,4308,aqua
CH,4309,aqua
CH,4310,aqua
CH,4311,aqua
CH,4312,aqua
CH,4313,aqua
Ti_I,4314,g
O_II,4315,g
O_II,4317,g
O_II,4318,g
O_II,4319,g
O_II,4320,g
Fe_I,4325,g
Fe_II,4326,g
He_II,4339,orange
He_II,4340,orange
H_gamma,4341,r
Fe_II,4352,g
Hg,4358,g
O_III,4363,g
O_II,4367,g
Ti_II,4368,g
Ti_II,4375,g
N_III,4379,g
C2,4380,g
Fe,4383,g
Fe_I,4384,g
He_I,4387,orange
He_I,4388,orange
Ti_I,4395,g
Ti_II,4400,g
Ti_II,4401,g
Fe_I,4405,g
O_II,4415,g
O_II,4416,g
O_II,4417,g
TiO,4422,g
N_II,4425,g
Ca_I,4435,g
Fe_I,4443,g
Ti_II,4444,g
Fe_I,4454,g
Ca_I,4455,g
